school_id,name,boards,number_of_boards,state,district,pincode,country,udise_plus_id,udise_code_masked,staffroom_url
sr92196,"ST. ARNOLDS ENGLISH MEDIUM HIGH SCHOOL, MEGHNAGAR",CBSE,1,MADHYA PRADESH,JHABUA,457779,India,3935434,******09812,https://www.thestaffroom.in/school/st-arnolds-english-medium-high-school-meghnagar~sr92196
sr92197,ST MARYS CONVENT SCHOOL,CBSE,1,MADHYA PRADESH,JHABUA,457773,India,4011695,******01131,https://www.thestaffroom.in/school/st-marys-convent-school~sr92197
sr92198,EXCELLENT ACADEMY,CBSE,1,MADHYA PRADESH,UJJAIN,456313,India,3948690,******01219,https://www.thestaffroom.in/school/excellent-academy~sr92198
sr92199,J R ACADEMY,CBSE,1,MADHYA PRADESH,DEWAS,455001,India,,,https://www.thestaffroom.in/school/j-r-academy~sr92199
sr92200,NOBLE PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,SAGAR,470226,India,3995225,******26503,https://www.thestaffroom.in/school/noble-public-school~sr92200
sr92201,JEEVA JYOTI HIGHER SECONDARY SCHOOL,CBSE,1,MADHYA PRADESH,NARMADAPURAM,461223,India,3959915,******02907,https://www.thestaffroom.in/school/jeeva-jyoti-higher-secondary-school~sr92201
sr92202,PRINCE CONVENT HIGHER SECONDARY SCHOOL,CBSE,1,MADHYA PRADESH,RAISEN,464986,India,3906805,******23219,https://www.thestaffroom.in/school/prince-convent-higher-secondary-school~sr92202
sr92203,IDEAL PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,BALAGHAT,481331,India,4002188,******06702,https://www.thestaffroom.in/school/ideal-public-school~sr92203
sr92204,NRI GLOBAL DISCOVERY ACADEMY SCHOOL,CBSE,1,MADHYA PRADESH,BHOPAL,462043,India,3931337,******02545,https://www.thestaffroom.in/school/nri-global-discovery-academy-school~sr92204
sr92205,SHRI CLOTH MARKET VAISHNAV HIGHER SECONDARY SCHOOL,CBSE,1,MADHYA PRADESH,INDORE,452002,India,4060310,******06977,https://www.thestaffroom.in/school/shri-cloth-market-vaishnav-higher-secondary-school~sr92205
