ib_code,name,address,district,state,pincode,pincode_source,programmes,ib_since,school_type,boarding,gender,teaching_languages,website,source_url,captured_on
008013,The Heritage School,"994, Madurdaha, Chowbaga Road, Anandpur, P.O. East Kolkata Township, Kolkata, West Bengal",KOLKATA,WEST BENGAL,700107,board,DIPLOMA,24 April 2012,PRIVATE,Day,Coeducational,English,https://www.theheritageschool.org/,https://www.ibo.org/en/school/008013,2026-08-25
012012,Goldcrest International,"Plot No. 59, Sector 29, Near Rajiv Gandhi Park, (Vashi), Navi Mumbai, Maharashtra",THANE,MAHARASHTRA,400703,board,DIPLOMA,21 June 2013,PRIVATE,Day,Coeducational,English,https://www.goldcrestinternational.in/,https://www.ibo.org/en/school/012012,2026-08-25
043012,The Indian Public School - Chennai,"50/51,First Main Road, Perungudi Industrial Estate, Perungudi, Chennai, Tamil Nadu",CHENNAI,TAMIL NADU,600096,board,DIPLOMA / PYP,19 November 2014,PRIVATE,Day,Coeducational,English,https://www.tipsglobal.org/,https://www.ibo.org/en/school/043012,2026-08-25
049042,Ascend International School,"5, ‘F’ Block, Opp. Govt. Colony, Bandra Kurla Complex, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400051,board,DIPLOMA / MYP / PYP,01 April 2015,PRIVATE,Day,Coeducational,English,https://www.ascendinternational.org/,https://www.ibo.org/en/school/049042,2026-08-25
049046,Cambridge International Foundation School,"Urban Estate Phase 1, Jalandhar, Punjab",JALANDHAR,PUNJAB,144022,board,DIPLOMA / PYP,30 September 2013,PRIVATE,Boarding / Day,Coeducational,English,https://www.cifsjal.school/,https://www.ibo.org/en/school/049046,2026-08-25
049062,"CPS Global School, Thirumazhisai","Unit of Kupidisaatham Narayanaswami Educational Trust, SH 50, Thiruvallur Road, Thirumazhisai, Chennai, Tamil Nandu,Tamilnadu",THIRUVALLUR,TAMIL NADU,600124,board,DIPLOMA,24 April 2012,PRIVATE,Mixed,Coeducational,English,https://www.cpsglobalschool.com/,https://www.ibo.org/en/school/049062,2026-08-25
049091,Genesis Global School,"A - 12, Sector 132, Express Way, Noida, Noida, Uttar Pradesh,Uttar Pradesh",GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201304,board,DIPLOMA / IBCC / MYP / PYP,25 October 2013,PRIVATE,Boarding / Mixed,Coeducational,English,https://www.genesisglobalschool.edu.in,https://www.ibo.org/en/school/049091,2026-08-25
049119,CHIREC International,"Survey no: 73, Sudarshan Nagar, Serilingampally, Hyderabad, Telangana 500133, Andhra Pradesh, Hyderabad, Telangana",MEDCHAL MALKAJGIRI,TELANGANA,500133,board,DIPLOMA / IBCC,23 March 2012,PRIVATE,Day,Coeducational,English,https://www.chirec.ac.in/,https://www.ibo.org/en/school/049119,2026-08-25
049173,Trivandrum International School,"Edackcode, P O Korani, Trivandrum, Kerala",THIRUVANANTHAPURAM,KERALA,695104,board,DIPLOMA / PYP,24 April 2012,PRIVATE,Mixed,Coeducational,English,https://www.trins.org/,https://www.ibo.org/en/school/049173,2026-08-25
049230,DSB International School,"Urmi Estate 95, Ganpatrao Kadam Marg, Opposite Peninsula Business Park, Lower Parel West, Mumbai, Maharashtra,Maharashtra",MUMBAI,MAHARASHTRA,400013,board,DIPLOMA,21 June 2013,PRIVATE,Day,Coeducational,English,https://www.dsbindia.com/,https://www.ibo.org/en/school/049230,2026-08-25
