affiliation_no,school_code,name,address,district,state,country,pincode,pincode_source,level,affiliated_from,affiliated_to,school_type,medium,gender,year_founded,managing_trust,website,source_url,captured_on
130742,56706,NELLORE CHANDRA REDDY HIGH SCHOOL,"BUCHIREDDY PALEM MANDAL, NELLORE ANDHRAPRADESH",SRI POTTI SRIRAMULU NELLORE,ANDHRA PRADESH,India,524305,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2018,pragnya priya educational society,https://www.nellorechandrareddyhs.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130742,2026-08-25
130743,56707,FUTURE WORLD SCHOOL,"SANKARAM VILLAGE,REBAKA POST, ANAKAPALLI,MANDAL",ANAKAPALLI,ANDHRA PRADESH,India,531001,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2019,SRI VENKATA SATYA SAI EDUCATIONAL SOCIETY,https://futureworldschools.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130743,2026-08-25
130744,56715,SREE MASINENI ENGLISH MEDIUM SCHOOL,"PEDDAVADUGURU MANDAL, ANANTAPUR DISTIRCT",ANANTHAPURAMU,ANDHRA PRADESH,India,515401,board,Senior Secondary Level,2025-04-01,2030-03-31T00:00:00.000Z,INDEPENDENT,,,2021,SRI KRISHNA DEVARAYA EDUCATIONAL SOCIETY,http://masinenischool.com/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130744,2026-08-25
130745,56723,PRIYA CEMENT HIGH SCHOOL,"BOINCHERUVUPALLI, PEAPULLY",KURNOOL,ANDHRA PRADESH,India,518220,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2007,PRAGNYA PRIYA EDUCATIONAL SOCIETY,http://www.priyacemenths2.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130745,2026-08-25
130746,56736,R.C.M ST. JOHN'S EM SCHOOL,"NEAR K.R.STADIUM, SRIKAKULAM DISTRICT",SRIKAKULAM,ANDHRA PRADESH,India,532001,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,1986,THE SRIKAKULAM DIOCESE SOCIETY,https://www.rcmstjohnschool.com/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130746,2026-08-25
130747,56749,ROCKWELL SCHOOL,"BODAPADU ROAD, MARKAPUR, MARKAPUR MANDAL",PRAKASAM,ANDHRA PRADESH,India,523316,board,Secondary Level,2024-04-01,2029-03-31T00:00:00.000Z,INDEPENDENT,,,2020,VNR EDUCATIONAL SOCIETY,http://www.rockwellmarkapur.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130747,2026-08-25
130748,56760,CATHERINE SCHOOL,"VIDYA MARG, GALLI ROAD, MULLAKUDDU VILLAGE, BHEEMUNIPATNAM MANDAL",VISAKHAPATNAM,ANDHRA PRADESH,India,531163,board,Secondary Level,2024-04-01,2029-03-31T00:00:00.000Z,INDEPENDENT,,,2021,CATHERINE ACADEMY OF GENERAL AND TECHNICAL EDUCATION,http://www.catherinecbse.info,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130748,2026-08-25
130749,56775,NALANDA E.M. HIGH SCHOOL,"GAYATRI NAGAR, KAVALI, SPSR NELLORE",SRI POTTI SRIRAMULU NELLORE,ANDHRA PRADESH,India,524201,board,Secondary Level,2024-04-01,2029-03-31T00:00:00.000Z,INDEPENDENT,,,1990,NALANDA EDUCATIONAL ACADAMY,https://nalandagroup.net/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130749,2026-08-25
130750,56780,INTERNATIONAL DELHI PUBLIC SCHOOL,"SURVEY NO. 657 B & C, CHILAKAVARIPALLI, CTM VILLAGE AND POST, MADANAPALLE MANDAL",CHITTOOR,ANDHRA PRADESH,India,517325,board,Senior Secondary Level,2024-04-01,2029-03-31T00:00:00.000Z,INDEPENDENT,,,2022,AMRUTHA SREE EDUCATIONAL TRUST,https://idpsmadanapalli.com/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130750,2026-08-25
130751,56785,KAKATIYA E M HIGH SCHOOL,"D.NO.9-1-7/1,RAMALINGESWAR NAGAR, NANDIGAMA(V&M), NANDIGAMA",KRISHNA,ANDHRA PRADESH,India,521185,board,Secondary Level,2024-04-01,2029-03-31T00:00:00.000Z,INDEPENDENT,,,2019,KAKATIYA EDUCATIONAL SOCIETY,http://www.ksenandigama.in,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130751,2026-08-25
130752,56786,KREDO THE SCHOOL,"B THANDRAPADU, KURNOOL, KURNOOL",KURNOOL,ANDHRA PRADESH,India,518007,board,Secondary Level,2023-04-01,2028-03-31T00:00:00.000Z,INDEPENDENT,,,2020,T V SUBBAMMA EDUCATIONAL SOCIETY,https://www.Kredotheschool.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130752,2026-08-25
130753,56788,RAVINDRA BHARATHI'S NEXTGEN SCHOOL,"D.NO.13-583, 585, 586, KANURU, YSR TADIGADAPA MUNICIPALITY",KRISHNA,ANDHRA PRADESH,India,520007,board,Secondary Level,2024-04-01,2029-03-31T00:00:00.000Z,INDEPENDENT,,,2023,RAVINDRA BHARATHI EDUCATIONAL ACADEMY,http://nextgenschool.edu.in/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130753,2026-08-25
130754,56799,SRI VYSHNAVI ENGLISH MEDIUM HIGH SCHOOL,"PORUMAMILLA, Y S R",Y.S.R.,ANDHRA PRADESH,India,516193,board,Secondary Level,2024-04-01,2029-03-31T00:00:00.000Z,INDEPENDENT,,,2014,SRI SAI EDUCATIONAL SOCIETY,https://www.srivyshnavicbseschool.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130754,2026-08-25
130755,56833,SRI RAVICHANDRA ENGLISH MEDIUM HIGH SCHOOL,"GALIVEEDU (V&M), GALIVEEDU , ANNAMAYYA",ANNAMAYYA,ANDHRA PRADESH,India,516267,board,Senior Secondary Level,2024-04-01,2029-03-31T00:00:00.000Z,INDEPENDENT,,,2001,SRI RAVICHANDRA EDUCATIONAL SOCIETY,https://sseduvision.in/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130755,2026-08-25
130756,56852,INTERNATIONAL DELHI PUBLIC SCHOOL KALAGAMPUDI,"KALAGAMPUDI ELAMANCHILI MANDAL , KALAGAMPUDI ELAMANCHILI MANDAL , KALAGAMPUDI ELAMANCHILI MANDAL",WEST GODAVARI,ANDHRA PRADESH,India,534268,board,Secondary Level,2025-04-01,2030-03-31T00:00:00.000Z,INDEPENDENT,,,2022,VIDHATRI EDUCATIONAL SOCIETY,https://www.dpsnarsapuram.com/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130756,2026-08-25
130757,56869,"ST XAVIER""S HIGH SCHOOL","KARNOOL ROAD, ONGOLE, PRAKASAM",PRAKASAM,ANDHRA PRADESH,India,523002,board,Secondary Level,2024-04-01,2029-03-31T00:00:00.000Z,INDEPENDENT,,,1970,Society Of Jesus Mary and Joseph St Xaviers Convent,https://www.stxhsogl.com,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130757,2026-08-25
130758,56882,MADDI SUBBA RAO EM HIGH SCHOOL,"DR.NO 9-76-18, KOTHAPETA, VIJAYAWADA, NTR DISTRICT.",VIJAYAWADA,ANDHRA PRADESH,India,520001,board,Secondary Level,2025-04-01,2030-03-31T00:00:00.000Z,INDEPENDENT,,,1994,SREE KANYAKA PARAMESWARI VISSAMSETTI VENKATA RATNAM HINDU HIGH SCHOOL COMMITTEE,https://msremhs.edu.in/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/130758,2026-08-25
