centre_number,name,address,district,state,pincode,pincode_source,programmes,school_type,registered_on,website,source_url,captured_on
IA081,"GEMS Modern Academy, Kochi","Plot B1-4, Smart City Kochi, opp. Infopark Phase II, Brahmapuram, Kerala 682303",ERNAKULAM,KERALA,682303,board,Lower Secondary / Upper Secondary / Advanced,Day school,2020-05-20,https://international.gemsmodernacademy-kochi.in/,https://connectedtot.com/find-a-cambridge-school/Details/gems-modern-academy-kochi/,2026-08-25
IA083,Mayo College,"Srinagar Road, Ajmer, Rajasthan, India",AJMER,RAJASTHAN,,,Primary / Lower Secondary / Upper Secondary,Fully residential,2019-07-29,http://www.mayocollege.com/,https://connectedtot.com/find-a-cambridge-school/Details/mayo-college/,2026-08-25
IA085,"Hindustan International School, Guindy","No 40, GST Road, St. Thomas Mount, Chennai - 600016",CHENNAI,TAMIL NADU,600016,board,Early Years / Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2019-06-09,https://hindustanschools.in/guindy/,https://connectedtot.com/find-a-cambridge-school/Details/hindustan-international-school-guindy/,2026-08-25
IA089,"Billabong High International School, Andheri","Billabong High International School, Apna Bazar Road, Azad Nagar, Andheri West, Mumbai – 400053",MUMBAI SUBURBAN,MAHARASHTRA,400053,board,Upper Secondary,Day school,2019-07-16,https://bhisandheri.com/,https://connectedtot.com/find-a-cambridge-school/Details/billabong-high-international-school-andheri/,2026-08-25
IA091,Rahul International School,"RIS Mira Road, Shree LR Tiwari Educational Campus, Mira Road E. Thane - 401107.",THANE,MAHARASHTRA,401107,board,Early Years / Lower Secondary / Upper Secondary / Advanced,Day school,2019-08-29,https://ris.education/campuses/mumbai/mira-road-igcse/,https://connectedtot.com/find-a-cambridge-school/Details/rahul-international-school/,2026-08-25
IA093,"Greenvalley International School, Trivandrum","Greenvalley Hills, Near EMS Academy, Vilapilsala, Peyad, Trivandrum - 695573",THIRUVANANTHAPURAM,KERALA,695573,board,Primary / Upper Secondary / Advanced,Day school,2020-03-26,http://www.greenvalleyschools.in/,https://connectedtot.com/find-a-cambridge-school/Details/greenvalley-international-school-trivandrum/,2026-08-25
IA094,"The Indian Public School, Chennai North Campus","TIPS Chennai North, 1/4A, 2nd Cross Street, SIDCO Industrial Estate, Ambattur, Chennai – 600098., INDIA",CHENNAI,TAMIL NADU,600098,board,Upper Secondary / Advanced,Day school,2024-01-29,https://tipschennai-n.org/about-tips/tips-chennai-north-ambattur/,https://connectedtot.com/find-a-cambridge-school/Details/the-indian-public-school-chennai-north-campus/,2026-08-25
IA101,Ambitus World School,"Survey No:76, 1B, IRR, Gunadala, Vijayawada, Andhra Pradesh 520004",NTR,ANDHRA PRADESH,520004,board,Early Years / Primary / Lower Secondary / Upper Secondary,Day school,2020-01-24,https://ambitusworldschool.com/vijayawada/,https://connectedtot.com/find-a-cambridge-school/Details/ambitus-world-school-1/,2026-08-25
IA105,Vibgyor High,"RS -301, Mudshingi Road,Uchgaon, Taluka - Karveer, Opp. Om sai petrol pump,Kolhapur- 416005,Maharashtra, India",KOLHAPUR,MAHARASHTRA,416005,board,Primary / Lower Secondary,Day school,2020-02-26,https://www.vibgyorhigh.com/,https://connectedtot.com/find-a-cambridge-school/Details/vibgyor-high/,2026-08-25
IA106,Sadhana Infinity School,"Survey No. 386, Nallagandla-Tellapur Road Opp. Aditya Eden Park Apts Nallagandla, Hyderabad, Telangana 500019",RANGA REDDY,TELANGANA,500019,board,Primary / Lower Secondary / Upper Secondary,Day school,2020-06-03,https://sadhanainfinityschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/sadhana-infinity-school/,2026-08-25
