cisce_code,name,address,locality,district,state,pincode,pincode_source,courses,classification,gender,on_current_register,latitude,longitude,website,source_url,captured_on
TN083,Samskaara Academy,"COIMBATORE, Coimbatore, Tamil Nadu, 641016, India",COIMBATORE,Coimbatore,Tamil Nadu,641016,board,ICSE / ISC,Day/Boarding,Co-ed.,true,11.002857,77.0509663,https://www.samskaaraacademy.com,https://locate.cisce.org/,2026-08-25
TN084,Sishya OMR School,"Chennai, Kanchipuram, Tamil Nadu, 600 097, India",Chennai,Kanchipuram,Tamil Nadu,600097,board,ICSE / ISC,Day,Co-ed.,true,12.9274005,80.2313361,https://www.sishyaomrschool.org,https://locate.cisce.org/,2026-08-25
TN085,Nps International Chennai,"Chennai, Chennai, Tamil Nadu, 600 100, India",Chennai,Chennai,Tamil Nadu,600100,board,ICSE / ISC,Day,Co-ed.,true,12.8979503,80.2056482,https://www.npsinternationalchennai.com,https://locate.cisce.org/,2026-08-25
TN086,A V S Central School,"TIRUPPUR, Tiruppur, Tamil Nadu, 641666, India",TIRUPPUR,Tiruppur,Tamil Nadu,641666,board,ICSE / ISC,Day,Co-ed.,true,11.1743568,77.2772613,https://www.avscentralschool.com,https://locate.cisce.org/,2026-08-25
TN087,St.michael's Academy,"Chennai, Chennai, Tamil Nadu, 600020, India",Chennai,Chennai,Tamil Nadu,600020,board,ICSE / ISC,Day,Co-ed.,true,13.0101965,80.2495657,https://www.st-michaelsacademy.com,https://locate.cisce.org/,2026-08-25
TN088,Nirmala Matha Convent School,"COIMBATORE, Coimbatore, Tamil Nadu, 641008, India",COIMBATORE,Coimbatore,Tamil Nadu,641008,board,ICSE / ISC,Day,Co-ed.,true,10.9579614,76.9540745,https://nirmalamathaicsekuniamuthur.com,https://locate.cisce.org/,2026-08-25
TN089,Shiksha Greenwoods School,"VELLORE, Vellore, Tamil Nadu, 635809, India",VELLORE,Vellore,Tamil Nadu,635809,board,ICSE / ISC,Day,Co-ed.,true,12.9043057,78.9411778,https://www.shikshaschools.in,https://locate.cisce.org/,2026-08-25
TN090,CHRIST INTERNATIONAL SCHOOL,"THANJAVUR, Thanjavur, Tamil Nadu, 613004, India",THANJAVUR,Thanjavur,Tamil Nadu,613004,board,ICSE / ISC,Day,Co-ed.,true,10.7534428,79.0964736,http://christinternationalschool.org/,https://locate.cisce.org/,2026-08-25
TN091,Seventh Day Adventist International Academy,"Hosur, Krishnagiri, Tamil Nadu, 635113, India",Hosur,Krishnagiri,Tamil Nadu,635113,board,ICSE,Day,Co-ed.,true,12.602894,77.8531249,https://www.sdaintlacademy.com,https://locate.cisce.org/,2026-08-25
TN092,Aachi International School,"USILAMPATTI, Madurai, Tamil Nadu, 625532, India",USILAMPATTI,Madurai,Tamil Nadu,625532,board,ICSE / ISC,Day/Boarding,Co-ed.,true,9.9364629,78.0370451,https://www.aachiinternationalschool.com,https://locate.cisce.org/,2026-08-25
TN093,M.G.V Global Academy,"TIRUPUR, Tiruppur, Tamil Nadu, 641 603, India",TIRUPUR,Tiruppur,Tamil Nadu,641603,board,ICSE / ISC,Day/Boarding,Co-ed.,true,11.1509584,77.3325631,,https://locate.cisce.org/,2026-08-25
TN094,Carmel Public School,"Chennai, Tiruvallur, Tamil Nadu, 602024, India",Chennai,Tiruvallur,Tamil Nadu,602024,board,ICSE / ISC,Day,Co-ed.,true,13.1291081,80.0076424,https://www.carmelpublicschool.in,https://locate.cisce.org/,2026-08-25
TN095,Ishethra International Residential School,"Karur, Karur, Tamil Nadu, 639 201, India",Karur,Karur,Tamil Nadu,639201,board,ICSE,Residential,Co-ed.,true,10.7746682,77.948509,https://www.ishethra.org,https://locate.cisce.org/,2026-08-25
TN096,Sri Vishwas Vidhyalaya,"Pannaimoondradaippu, Virudhunagar, Tamil Nadu, 626129, India",Pannaimoondradaippu,Virudhunagar,Tamil Nadu,626129,board,ICSE / ISC,Day,Co-ed.,true,9.5562761,78.1509205,https://www.vishwasschool.org,https://locate.cisce.org/,2026-08-25
TN097,The Bridgewoods Public School,"COIMBATORE, Coimbatore, Tamil Nadu, 641014, India",COIMBATORE,Coimbatore,Tamil Nadu,641014,board,ICSE / ISC,Day,Co-ed.,true,11.0103326,77.0380706,https://www.thebridgewoodspublicschool.com,https://locate.cisce.org/,2026-08-25
TN098,Sri Kalaivani International School,"UNJANAI, Sivaganga, Tamil Nadu, 630202, India",UNJANAI,Sivaganga,Tamil Nadu,630202,board,ICSE / ISC,Day,Co-ed.,true,10.024652,78.821983,https://srikalaivanischools.com,https://locate.cisce.org/,2026-08-25
TN099,Bharathi Vidhyaa Kendhra School,"Tiruppur, Tiruppur, Tamil Nadu, 641654, India",Tiruppur,Tiruppur,Tamil Nadu,641654,board,ICSE / ISC,Day/Boarding,Boys,true,11.1489171,77.2648007,https://www.bharathischools.org,https://locate.cisce.org/,2026-08-25
TN100,Seventh Day Adventist English School,"Chennai, Chennai, Tamil Nadu, 600045, India",Chennai,Chennai,Tamil Nadu,600045,board,ICSE,Day,Co-ed.,true,12.9348251,80.1260478,,https://locate.cisce.org/,2026-08-25
TN101,Wisdom Wealth International School,"Virudhunagar, Virudhunagar, Tamil Nadu, 626003, India",Virudhunagar,Virudhunagar,Tamil Nadu,626003,board,ICSE / ISC,Day,Co-ed.,true,9.5115111,77.9340866,https://www.wisdomwealthschool.in,https://locate.cisce.org/,2026-08-25
TN102,Sree Jayam School,"vellore, Vellore, Tamil Nadu, 632001, India",vellore,Vellore,Tamil Nadu,632001,board,ICSE / ISC,Day/Boarding,Co-ed.,true,12.8928999,79.1291054,https://www.sreejayamschool.edu.in,https://locate.cisce.org/,2026-08-25
TN103,Shri Vijayalakshmi Vidhyalayaa International School,"KARUR, Karur, Tamil Nadu, 639004, India",KARUR,Karur,Tamil Nadu,639004,board,ICSE / ISC,Day,Co-ed.,true,10.9416592,78.1022729,,https://locate.cisce.org/,2026-08-25
TN104,Christwood School,"Chennai, Kanchipuram, Tamil Nadu, 600048, India",Chennai,Kanchipuram,Tamil Nadu,600048,board,ICSE / ISC,Day,Co-ed.,true,12.855182,80.1427602,https://www.christwood.edu.in,https://locate.cisce.org/,2026-08-25
TN105,Pincushion Montessori International School,"VELLORE, Vellore, Tamil Nadu, 632106, India",VELLORE,Vellore,Tamil Nadu,632106,board,ICSE / ISC,Day/Boarding,Co-ed.,true,12.9657098,79.1675515,https://www.pincushion.in,https://locate.cisce.org/,2026-08-25
TN106,Santa Maria Academy International School,"Hosur, Krishnagiri, Tamil Nadu, 635118, India",Hosur,Krishnagiri,Tamil Nadu,635118,board,ICSE / ISC,Day,Co-ed.,true,12.5856658,77.6543283,https://santamariaacademy.in/,https://locate.cisce.org/,2026-08-25
